"Island","Site","Quadrat","Date","Latitude","Longitude","Pop_Eaten","Pop_Not_Eaten","Pop_Lost","Time_Pop_Deployed","Time_Pop_Retrieved","Tide_Height","Relief","Substrate_Type","ASNO","FUSP","FUVE","FUDI","MAST","FU","ULIN","PORS","CHCR","SLJ","SL","CO","ULLA"
"Lovells","A",1,"2022-08-30",42.330579,-70.930809,10,0,0,"10:08 AM",NA,"mid","flat","boulder",0,0,0,0,1,0,0,0,0,0,0,NA,0
"Lovells","A",2,"2022-08-30",42.330579,-70.930809,10,0,0,"10:08 AM",NA,"mid","flat","boulder",0,0,0,0,1.1,0,0,0,0,0,0,0.5,0
"Lovells","A",3,"2022-08-30",42.330579,-70.930809,10,0,0,"10:08 AM",NA,"mid","flat","boulder",0,0,0,0,0.1,0,0,0,0,0,0,NA,0
"Lovells","A",4,"2022-08-30",42.330579,-70.930809,10,0,0,"10:08 AM",NA,"mid","flat","boulder",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","A",5,"2022-08-30",42.330579,-70.930809,10,0,0,"10:08 AM",NA,"mid","flat","boulder",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","B",1,"2022-08-30",42.332623,-70.932527,10,0,0,"8:50 AM",NA,"mid","flat","boulder",0,0,0,0,0.1,0,0,0,0,0,0,0.5,0
"Lovells","B",2,"2022-08-30",42.332623,-70.932527,10,0,0,"8:50 AM",NA,"mid","flat","boulder",0,0,0,17,4,0,0,0,0,0,0,0.6,0
"Lovells","B",3,"2022-08-30",42.332623,-70.932527,10,0,0,"8:50 AM",NA,"mid","flat","boulder",0,0,0,0,2.1,0,0,0,3,0,0,0.1,0
"Lovells","B",4,"2022-08-30",42.332623,-70.932527,10,0,0,"8:50 AM",NA,"mid","flat","boulder",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","B",5,"2022-08-30",42.332623,-70.932527,10,0,0,"8:50 AM",NA,"mid","flat","boulder",0,0,0,0,0.2,0,0,0,10,0,0,4.2,0
"Lovells","C",1,"2022-08-30",42.331872,-70.928551,10,0,0,"10:58 AM","5:52 PM","mid","flat","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","C",2,"2022-08-30",42.331872,-70.928551,10,0,0,"10:58 AM","5:52 PM","mid","flat","pebble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","C",3,"2022-08-30",42.331872,-70.928551,10,0,0,"10:58 AM","5:52 PM","mid","flat","pebble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","C",4,"2022-08-30",42.331872,-70.928551,10,0,0,"10:58 AM","5:52 PM","mid","flat","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","C",5,"2022-08-30",42.331872,-70.928551,10,0,0,"10:58 AM","5:52 PM","mid","flat","pebble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","D",1,"2022-08-30",42.325457,-70.924034,8,2,0,"10:43 AM","6:15 PM","mid","flat","sand",0,0,0,0,0,0,7.5,0,0,0,0,0,1.5
"Lovells","D",2,"2022-08-30",42.325457,-70.924034,8,2,0,"10:43 AM","6:15 PM","mid","flat","pebble",0,0,0,0,0,0,25,0,0,0,0,0,1.5
"Lovells","D",3,"2022-08-30",42.325457,-70.924034,8,2,0,"10:43 AM","6:15 PM","mid","flat","pebble",0,0,0,0,0,0,12.7,0,0,0,0,0,0.2
"Lovells","D",4,"2022-08-30",42.325457,-70.924034,8,2,0,"10:43 AM","6:15 PM","mid","flat","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","D",5,"2022-08-30",42.325457,-70.924034,8,2,0,"10:43 AM","6:15 PM","mid","flat","pebble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","E",1,"2022-08-30",42.324923,-70.925644,10,0,0,"11:02 AM","5:30 PM","mid","low","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","E",2,"2022-08-30",42.324923,-70.925644,10,0,0,"11:02 AM","5:30 PM","mid","low","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","E",3,"2022-08-30",42.324923,-70.925644,10,0,0,"11:02 AM","5:30 PM","mid","low","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","E",4,"2022-08-30",42.324923,-70.925644,10,0,0,"11:02 AM","5:30 PM","mid","low","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lovells","E",5,"2022-08-30",42.324923,-70.925644,10,0,0,"11:02 AM","5:30 PM","mid","low","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
